geneid,mm,mv
GRMZM5G801091,0.880689833129335,NA
GRMZM2G120302,0.32122586831803,0.0249262771933826
GRMZM2G079949,0.0484082275428965,0.0262450075303178
GRMZM5G898880,0.00407490120285039,0.0020244629177899
GRMZM2G080044,0.118692566202738,0.021611241825248
GRMZM2G080103,0.0126555641036058,0.00879777634292336
GRMZM2G080120,0.0486757974281194,0.0106935335134155
GRMZM2G152177,0.43736557927633,0.0835432361012343
GRMZM2G408174,0.00278861708144796,0.00140622192351243
GRMZM2G480850,0.00391787047125809,0.00258175975818088
GRMZM2G343769,0.00212772101456519,0.00137637345115532
GRMZM2G490839,0.829622332556504,0.0786621897571366
GRMZM2G038532,0.135574074084062,0.0220546088699343
GRMZM2G038436,0.00299211130517741,NA
AC217577.1_FG003,0.869990704500978,NA
GRMZM2G080696,0.00343511844105534,NA
GRMZM5G887716,0.048261941833751,0.00632690517485503
GRMZM5G870571,0.00236353077208509,NA
AC215605.2_FG003,0.886709552372708,0.0573181185263141
GRMZM5G857459,0.0531394794801914,0.0158703180037944
GRMZM5G875445,0.00258163905155132,NA
AC215605.2_FG007,0.925934203648756,NA
GRMZM2G150656,0.161006664920906,NA
GRMZM2G033413,0.00658167828801383,0.00279232908701534
GRMZM2G403740,0.0204657064136844,0.00982151291101551
GRMZM2G160887,0.171393482852227,0.0424179088864738
GRMZM2G160964,0.473705539113572,0.0546271126370205
GRMZM2G088053,0.00245533351660803,NA
GRMZM2G066373,0.0451146701745696,0.00962968342559091
GRMZM2G066358,0.00320036087567764,0.00230285485531453
GRMZM2G308083,0.543358604001587,0.0344854841070609
GRMZM2G038827,0.698868056988877,0.0626586233125024
GRMZM2G038928,0.00235614038907873,0.000702484540900894
AC195580.2_FG010,0.914401657706093,NA
GRMZM2G070455,0.00404359058664116,0.00168005022092384
GRMZM2G070432,0.893601201740496,0.052830923696208
GRMZM2G371870,0.908124075001323,0.0374591031759849
GRMZM2G070315,0.0169488219385324,NA
GRMZM2G142072,0.323298444573424,0.0173426243060575
GRMZM2G142057,0.00296472200472336,0.00152271621271281
GRMZM2G062318,0.0027628956596489,0.00117328639613648
GRMZM2G703267,0.847473953150761,0.0668161442452444
GRMZM2G033915,0.00236810383552149,NA
GRMZM2G033805,0.176501500723917,0.0255366040194236
GRMZM5G801953,0.00282961280917596,0.00131933450676022
GRMZM5G808624,0.155431387348462,0.0222611076289013
AC213896.2_FG005,0.684039637172908,0.067692763990216
GRMZM5G864689,0.294990241430796,NA
GRMZM2G159402,0.00303927438325427,0.00207758606917832
GRMZM2G033130,0.510994683942304,0.0374765656635835
GRMZM2G005013,0.140394564932149,0.0196683552845458
GRMZM2G005066,0.0021611651793034,NA
GRMZM2G067743,0.00242614185532193,0.00137052151634502
GRMZM2G008923,0.878790819497896,NA
GRMZM2G169709,0.902729983435173,0.0616156555738209
GRMZM2G122793,0.118176260858927,0.00607955263318386
AC194719.3_FG002,0.88828013034188,0.0661950532331133
GRMZM5G882986,0.372871850908207,0.0198842247316739
GRMZM2G055982,0.00240098461880109,0.00100808332971898
GRMZM5G824574,0.00246437979505338,0.000945375480175975
GRMZM2G131888,0.00678138713151164,0.00312396947435725
GRMZM2G086906,0.00225296069101426,0.00075083211933642
GRMZM2G087196,0.505950839453923,0.0836470304923054
GRMZM2G443256,0.846504879485163,NA
GRMZM2G480226,0.117662056757125,0.026359124362655
AC188583.4_FG003,0.00505711381913469,0.00404818727465766
GRMZM2G447806,0.00194722524540952,0.00108209980516016
GRMZM2G147572,0.787624279566587,NA
GRMZM2G588689,0.89537421329173,0.0620628938216607
GRMZM2G476921,0.892434194139866,NA
GRMZM2G061257,0.00264511497033024,0.000786017424014905
GRMZM2G053170,0.570325744803657,0.170642647963618
GRMZM2G053196,0.634811787886606,NA
GRMZM2G053292,0.644856123560535,NA
GRMZM2G443148,0.551372641492494,NA
AC210158.3_FG003,0.90563451564627,0.0455955749880566
AC210158.3_FG004,0.899655875617141,0.0474182723625843
GRMZM2G135501,0.038554857827804,0.00739899778567962
GRMZM2G135477,0.762916096024964,0.094224261929435
GRMZM2G127911,0.349312638169018,NA
GRMZM2G127909,0.00244290063678938,0.00109149806557867
GRMZM2G127893,0.00974963499884945,0.0051671512970321
GRMZM2G127609,0.00806429975883642,0.00394849951836946
GRMZM2G160005,0.179929529440087,NA
GRMZM2G012863,0.0792329321622668,0.0135717129285407
GRMZM2G013318,0.499874682170017,0.0507823176662694
GRMZM2G013607,0.112968671650162,0.0175525361579605
GRMZM2G312732,0.0189871907965557,0.0176808042823365
GRMZM2G312736,0.00166787975479382,0.00107320230312222
GRMZM2G404855,0.666666666666667,NA
GRMZM2G070475,0.00301072394910395,0.00142633433729639
GRMZM2G451533,0.00273005508714957,0.00186398530649608
GRMZM2G703370,0.00337834101382488,0.00266185391705069
GRMZM2G703371,0.844380291900222,NA
GRMZM2G167594,0.400267351219472,0.0388396006813835
GRMZM2G089713,0.0793913190150348,0.0278300130369895
GRMZM2G090980,0.0436800249265871,0.0139729966902849
GRMZM2G171179,0.463641754005105,0.0341367984552755
GRMZM2G469771,0.82504908167741,0.0722792942908239
GRMZM2G024530,0.231004824642535,0.0390914457271249
GRMZM2G046618,0.00312242962981482,0.00133499227170979
GRMZM2G177276,0.198388319159612,0.0205799262460848
GRMZM2G177231,0.0512093567414658,NA
GRMZM2G478553,0.0030580782421158,0.00151830703061056
GRMZM2G177218,0.00305046078982922,0.00155549837315246
GRMZM2G177215,0.0249131944444444,0.0201605902777778
GRMZM2G177098,0.109965891773816,0.0161806061115338
GRMZM2G165390,0.00205185269314947,0.000835008081380276
GRMZM2G165433,0.00267907433102352,0.0011435308124839
GRMZM2G061472,0.0019078014380763,0.000721815040146996
GRMZM5G866027,0.468589265551097,NA
GRMZM5G834697,0.00338153424057312,0.00153688892924103
GRMZM2G146358,0.0672850307171902,0.0272858748785673
GRMZM2G146315,0.0184668506989345,0.0166256488757835
GRMZM2G310306,0.0161159490418761,NA
GRMZM2G467169,0.2999106911612,NA
GRMZM2G135476,0.479442545439228,0.0430845215000913
GRMZM2G436583,0.78469714319823,0.0533741913154914
GRMZM2G151923,0.348775172384522,0.0424547455955148
GRMZM2G151913,0.00242694199238317,0.00130807038778235
GRMZM2G455306,0.127790528256979,0.0331343946494545
GRMZM2G151887,0.158496064830495,NA
GRMZM2G455243,0.169383086685854,0.0151722613331404
GRMZM2G032214,0.0834581489476525,0.0141066059173275
GRMZM2G128160,0.267645615557276,NA
GRMZM2G128056,0.114375891971701,NA
GRMZM2G428370,0.00316362880793247,0.00129840319522759
GRMZM2G559179,0.8897,0.0617816388888889
GRMZM2G127990,0.00291463694046589,0.000953824451280316
AC215198.3_FG002,0.0377237073396382,0.0134166345809784
GRMZM2G031588,0.166375720984877,0.0261229475125342
GRMZM2G067158,0.910987820622946,0.0484106726534005
GRMZM2G067053,0.00798002644603161,NA
GRMZM2G081573,0.240781412443145,0.0356644526112736
GRMZM2G079306,0.28726041497907,NA
GRMZM2G016866,0.0357018157799182,0.0177390950501394
GRMZM2G067646,0.00989806619016662,0.00191696984185531
GRMZM2G067654,0.00477375516461354,NA
GRMZM2G038640,0.364713256057119,0.0179354797481519
GRMZM2G116491,0.00428889660392229,NA
GRMZM2G016323,0.347745838163198,0.0379163744280818
GRMZM2G083025,0.879139397345377,0.0642417183442981
GRMZM5G841693,0.896006469060351,0.0572046467616109
GRMZM2G453349,0.0978454922274131,NA
GRMZM2G409865,0.409732314463134,0.0280621554711521
GRMZM2G109595,0.00908874224985299,0.0046974777693781
GRMZM2G409974,0.0177755353428376,0.00737407562101855
GRMZM2G109720,0.122072700473317,0.015728165802168
AC212720.3_FG006,0.908511381075065,0.063851603901703
GRMZM2G008305,0.0422791061827729,0.0164007979341163
GRMZM2G008326,0.00268814063525234,0.0018013431870896
GRMZM2G156006,0.00223498246569583,0.00112432005838398
GRMZM2G156027,0.00650796531980017,0.00521230829578193
GRMZM2G455557,0.0237285689573961,0.00609991721212794
GRMZM2G455568,0.0125707681365576,0.0042224058242453
GRMZM2G481005,0.118524847037387,NA
GRMZM2G040660,1,NA
GRMZM2G703457,0.840733069828722,0.107579893939394
GRMZM2G072550,0.117962953171699,0.0131036705636641
GRMZM2G149132,0.437509088172749,0.0531529003832833
GRMZM2G149126,0.00359063109161793,0.000732864757338608
GRMZM2G009139,0.00389144134802408,0.00182274991924433
GRMZM2G047138,0.00286788092429954,0.00158313491397356
GRMZM2G046669,0.00434665724178231,0.00239105422752589
GRMZM2G128515,0.0500252070115015,0.0132975984076158
GRMZM2G428020,0.00231333887364766,0.00127508731127793
GRMZM5G858599,0.00392397346187084,0.00224682316863416
GRMZM2G014240,0.243879161735829,0.0373673596861728
GRMZM2G159822,0.23807154995104,NA
GRMZM2G300408,0.0722047366002322,0.00488322321226243
GRMZM2G000423,0.0539399431353824,0.0130331290260358
GRMZM2G000393,0.177721839509175,0.0117536780035936
GRMZM2G000371,0.343919490588531,0.0324189401184906
GRMZM2G023636,0.198485508398686,0.0106587295158134
GRMZM2G023760,0.88055681903599,0.0707187281675911
GRMZM2G325561,0.0030796682050013,0.001354277272466
GRMZM2G067707,0.111903725014427,0.0438240948330811
GRMZM2G167156,0.158354747914841,0.0396639331827534
AC207265.3_FG002,0.189356778419388,0.0118096198481774
GRMZM2G167207,0.086187378302385,NA
GRMZM2G167212,0.00319376492539554,0.00170879699531943
GRMZM2G008152,0.0460311446938417,NA
GRMZM2G007957,0.0964946642913604,0.0400184327019133
GRMZM2G007683,0.258379520108482,0.0257079748472744
GRMZM2G402156,0.862213397129187,0.0365361255570711
GRMZM2G100873,0.313152931168893,0.0662349757339927
GRMZM2G056256,0.423572320152527,0.124559370662682
GRMZM2G093146,0.335545729202392,0.105438563462684
GRMZM5G823162,0.876314771481813,NA
GRMZM2G328612,0.569880472997965,0.046424230483087
GRMZM2G328168,0.0191451141331692,0.00898731711316781
GRMZM2G328213,0.103949658301786,0.0637579891789995
GRMZM2G029370,0.149764834354575,0.0400432293995205
GRMZM2G093010,0.00191523799578311,0.000950973163563671
GRMZM5G874736,0.167759876270518,0.0112070287630059
GRMZM5G824137,0.4236092999656,0.0255284762389979
GRMZM2G398736,0.130467482342001,0.0334148391970665
GRMZM5G843474,0.0202024320059408,0.00584372322636657
GRMZM5G887770,0.832088196881092,0.0532650883849329
GRMZM2G160842,0.0571689240665241,0.00883915733542232
GRMZM5G831993,0.108330695918718,0.0167107253694515
GRMZM2G335709,0.00458648089893852,0.00252836376647808
GRMZM5G865595,0.00236171774004803,0.00165072947483087
GRMZM5G810393,0.00630749471562669,0.00307317827054267
GRMZM2G576752,0.0264534438206885,0.00793856034697803
GRMZM2G007801,0.631640458861813,0.0329775071431445
GRMZM2G304378,0.00243820519342936,0.00113931544529613
GRMZM2G304362,0.147117066424959,0.024747040510665
GRMZM2G005209,0.105487479495307,0.0278843302411881
GRMZM2G005080,0.0227514755286213,0.00691017289361153
GRMZM2G030144,0.189351931003413,NA
GRMZM2G398642,0.932356192013617,NA
AC190756.4_FG007,0.863163400471633,NA
GRMZM2G099355,0.523955406486387,0.0257366945360324
GRMZM2G356452,0.901581028750033,0.062130850537801
GRMZM2G104747,0.00305118885152367,NA
GRMZM2G104760,0.00251996801388684,NA
GRMZM2G001799,0.00306204022978216,0.00225784001307335
GRMZM2G301860,0.00853874804827414,0.0040456397134373
GRMZM2G481291,0.0439332584937983,0.0206170885430509
GRMZM2G099363,0.00280707502874037,NA
GRMZM2G099324,0.681071902477253,0.0708067843949051
GRMZM2G440198,0.0173533404869125,NA
GRMZM2G074611,0.0113391842400614,0.00460792929353737
GRMZM2G338056,0.00115886960404317,0.000559227316556468
GRMZM2G017349,0.125932732783919,NA
GRMZM2G016930,0.223442366102502,0.0211080012858315
GRMZM2G075582,0.219986699548108,0.0404371525104832
GRMZM2G075488,0.0350665160500634,0.0131683302425122
GRMZM2G529313,0.173541611215311,0.023110702976239
GRMZM2G075463,0.002572150997151,0.00195496232193732
GRMZM2G014076,0.20484598858279,0.0202346549157048
GRMZM2G160496,0.00304029361765231,NA
GRMZM2G160463,0.00491464331629652,NA
GRMZM2G160447,0.370590454041043,0.0468593675621815
GRMZM2G461040,0.812907432309406,0.0702684855771649
GRMZM2G460950,0.304517233276084,NA
GRMZM2G531231,0.764496085561264,0.127172437969114
GRMZM2G060090,0.286139030612245,NA
GRMZM2G002227,0.0489886511050069,0.00703093876678251
GRMZM2G703540,0.845970998648002,0.0887221118461298
AC197699.3_FG003,0.0604894412724095,NA
AC197699.3_FG002,0.0851866637411095,0.0202349245918948
AC197699.3_FG010,0.0333575525767336,0.0235989531790767
AC197699.3_FG009,0.087089109260694,0.0639955270241866
GRMZM2G703552,0.843032389937107,NA
AC197699.3_FG008,0.379100152938676,NA
GRMZM5G800973,0.858099781887021,0.0563090232687897
AC197699.3_FG006,0.886771923719698,NA
AC197699.3_FG005,0.177573894296842,0.0969244448028435
GRMZM2G035804,0.0264530941027698,0.0104005703226108
GRMZM2G035853,0.851942332524502,0.0489354360627246
GRMZM2G149130,0.00246837093792458,0.00104079352208636
GRMZM2G419244,0.856313720598114,0.0703035222733187
GRMZM5G864319,0.160811445345918,0.0170552156992786
GRMZM2G063550,0.0650610040040178,0.0151791600153263
GRMZM2G077964,0.0404156110765617,0.00470589728160622
AC211152.4_FG007,0.0785454185848709,0.0106079430485687
GRMZM2G162420,0.00554092020049228,0.00199994845154115
GRMZM2G162441,0.847886768596327,0.0533251544525479
GRMZM2G141303,0.0109386116709299,0.0066102378363386
GRMZM2G129451,0.143122223304731,0.00776813272358017
GRMZM2G429378,0.0212664343181314,0.0101168915447909
GRMZM2G071249,0.055150226273696,0.00424399491774252
GRMZM2G130079,0.0179735197368421,0.00746047770256005
GRMZM2G111903,0.113244273497244,0.0137741916016742
GRMZM2G111962,0.00243669599648438,0.000762505560283266
GRMZM2G121395,0,NA
GRMZM2G017692,0.91601474625525,0.0245052847201833
GRMZM2G017761,0.923897467089727,NA
GRMZM2G315478,0.927101764211852,NA
GRMZM2G178558,0.920556662506212,NA
GRMZM2G140689,0.837783474103927,NA
GRMZM2G441484,0.922148683970166,NA
GRMZM2G140728,0.964211538461539,NA
GRMZM2G016855,0.888772911509047,NA
GRMZM2G016330,0.921170992980393,NA
GRMZM2G420141,0.923827346507725,NA
GRMZM2G464295,0.931882514128206,NA
GRMZM2G020418,0.226176925570404,NA
GRMZM2G174312,0.923544762604221,NA
GRMZM5G873780,0.106541120563119,NA
GRMZM2G476970,0.845018642340523,NA
AC206266.3_FG001,0.131419416057226,NA
GRMZM5G844623,0.926413848046641,0.0348923181580729
GRMZM2G703580,0.919074680019796,0.0291884403472187
GRMZM5G893649,0.181632610665786,0.0239009774903761
GRMZM2G003551,0.00799286109262879,0.0034067056235269
GRMZM2G051197,0.893224105599554,NA
GRMZM5G857132,0.877889780332261,0.0412717985242
GRMZM5G899123,0.91643563018877,NA
AC231745.1_FG004,0.579548917792927,NA
GRMZM5G812228,0.10035633947564,0.0209317621636098
GRMZM5G852396,0.00345166977260398,0.00212505096272013
GRMZM5G838414,0.296523524002657,0.0844205729280055
AC231745.1_FG003,0.00222300600615717,0.000876792029013049
GRMZM5G800535,0,NA
GRMZM5G808748,0.679231081958046,NA
GRMZM2G352601,0.00275810585265472,NA
GRMZM2G022730,0.037529367396879,0.0199722971913407
GRMZM2G052562,0.00705824247047967,0.00289251288575215
GRMZM2G107926,0.00230256288437497,0.00116312140334097
GRMZM2G105909,0.047169777307853,0.0142941634312401
GRMZM2G020216,0.0971859399394036,0.0154151198096659
GRMZM2G103137,0.0187233798877469,NA
GRMZM2G405203,0.00303167604336585,0.00172670046051244
GRMZM2G405178,0.0278476266575601,NA
GRMZM2G102596,0.315432088657576,0.0162877769756699
GRMZM2G102521,0.107181340493379,NA
AC208905.3_FG004,0.00631234699940582,0.00526240073677956
GRMZM2G307495,0.00556944594494825,0.00345084213224522
GRMZM2G003742,0.19520336742408,NA
GRMZM2G098721,0.851667285528912,0.0791745946982865
GRMZM2G098750,0.509511144745957,0.112362634331429
GRMZM2G028552,0.776257573736886,NA
GRMZM2G028594,0.0377021798040831,0.0124256026289158
GRMZM5G877388,0.0730334036568214,0.0174665145419705
GRMZM5G863550,0.143507864900317,0.0158865336961148
GRMZM2G443985,0.045396958245764,0.00713126518244361
GRMZM2G077643,0.00396603784993745,NA
GRMZM2G077696,0.903728999307784,NA
AC201977.3_FG005,0.934813879037097,NA
GRMZM2G455192,0.853259346713892,NA
GRMZM2G403190,0.194255846985259,0.117528894268854
GRMZM2G403151,0.747291665228691,NA
GRMZM2G103179,0.12396355168774,0.0234380531347668
GRMZM2G005522,0.0318629721262951,0.0105194131836609
GRMZM2G005461,0.00411811477438005,0.00175600423659769
GRMZM2G005339,0.259905490330519,0.0351386945303599
GRMZM2G104269,0.0361051616309292,0.00926573651721897
GRMZM2G104237,0.108856127293157,NA
GRMZM2G156044,0.948878348214286,0.0185487232457085
GRMZM2G351966,0.934027412773285,NA
AC190913.3_FG002,0.916781304969013,NA
GRMZM2G003289,0.490399245879928,NA
GRMZM2G140051,0.277248709228508,0.0140335521023383
GRMZM2G056365,0.0279189249938992,0.0093843064140786
GRMZM2G035665,0.0109883199783496,0.00388581802917609
GRMZM2G035732,0.32503946695447,0.0296493801855376
GRMZM2G061277,0.492089964423442,0.0227174060863071
GRMZM2G400470,0.175228776015041,NA
GRMZM2G475952,0.00274029106274612,0.0013783220912979
GRMZM2G094510,0.0045103925494683,0.00283666507215841
GRMZM2G443962,0.0856851133429227,0.020846453434184
GRMZM2G077040,0.00242789085791558,NA
GRMZM2G076972,0.00200233754838822,0.000863495593351709
GRMZM2G050971,0.0896017467818152,0.00655650901381421
GRMZM2G051059,0.0373216133810403,0.00862908984399046
AC193630.3_FG004,0.00512729051720568,0.00191858740437309
AC193630.3_FG003,0.00269736124413163,0.00104441503082364
GRMZM2G370283,0.870991178881333,NA
GRMZM2G073982,0.0037715160652173,0.00230732798939125
GRMZM2G323418,0.0291544623459342,0.00520960777982863
GRMZM2G323413,0.389935449122901,0.0617988890901273
GRMZM2G028928,0.258804897201283,0.0120952369395579
GRMZM2G106683,0.131664159492602,0.01254157962846
GRMZM2G444801,0.00444661558388943,0.0022873836858878
GRMZM2G000645,0.439422630897178,0.0317033238713804
GRMZM2G146490,0.163854100634583,NA
GRMZM2G173693,0.603849744274494,0.0523805195826201
GRMZM2G173641,0.316130816915283,0.0416116685657269
GRMZM2G173628,0.411348528186181,0.0555086300674293
GRMZM2G173615,0.0503486224025017,0.0157836743952886
GRMZM2G173579,0.797971873819247,NA
GRMZM5G829544,0.540062700943702,NA
GRMZM2G391473,0.00371290049438579,NA
GRMZM5G899300,0.223831333023508,NA
GRMZM2G103475,0.134704307600233,0.020138104784232
GRMZM2G147399,0.00519957132650631,0.00431126341529128
GRMZM2G131421,0.0029711170666496,0.00196133520269961
GRMZM2G404897,0.191756999689745,NA
GRMZM2G404965,0.00384183848736107,0.00207101484830512
GRMZM2G404977,0.0181816339203484,NA
GRMZM2G433433,0.0227766741358957,0.0150960754881595
GRMZM2G134260,0.00349255016467786,0.00176429142304595
GRMZM2G544469,0.898236409069556,0.0608389411219493
GRMZM2G106276,0.00394497986604092,0.0026985346330038
GRMZM2G405655,0.901066333280379,NA
GRMZM2G377199,0.0023414011558694,0.00104635869603624
GRMZM2G374881,0.253328605308707,0.0166991182448406
GRMZM5G839794,0.0022836636731079,0.00127545321464997
GRMZM2G545891,0.0158697666097423,0.00189552544803825
AC214503.3_FG008,0.790306677986902,0.110299257670004
AC214503.3_FG004,0.911326574337121,0.0657928767728943
AC214503.3_FG003,0.812297776535828,0.0920637794425278
GRMZM2G061401,0.78842790158669,NA
GRMZM2G018849,0.472841261585747,0.163765661401935
GRMZM2G301546,0.892601608918697,0.0673793026696387
GRMZM2G114098,0.18876958450078,0.0304794910174916
GRMZM2G376918,0.105358684127275,0.0181068544745501
GRMZM2G115156,0.0570666343617969,0.0102568046566422
GRMZM2G115124,0.0025611882647796,0.000850808358457418
GRMZM2G144440,0.842165379890518,0.0710304226094883
GRMZM2G144421,0.0566161998220639,NA
GRMZM2G447455,0.436693712349202,0.0203502037149677
AC193668.3_FG009,0.838033461393566,0.0825276085140146
GRMZM2G072274,0.00220567262698832,0.00109097352003724
GRMZM2G449056,0.58426352585555,0.15369978821495
GRMZM2G148106,0.0806954727914558,0.0206199825933707
GRMZM2G064302,0.0715908236564777,NA
GRMZM2G448656,0.00688988708782241,0.00502351298415702
GRMZM5G830776,0.229275708094335,0.0702145913452907
GRMZM2G107609,0.139893104404086,0.0429335417248704
GRMZM2G107665,0.0669671607517067,NA
GRMZM2G398341,0.908651984126984,NA
GRMZM2G097313,0.122871196482826,0.0362614867991961
GRMZM2G507478,0.824767055714925,0.0758406380697738
